nro_Factura,Fecha_emisi�n,Fecha_Vencimiento,Nombre,Tel�fono,Direccion,Producto,monto_final,id_Estado
202253,14/04/2023,1/05/2023,Sylvester O'Dreain Ciciari,932057979,45257 Fulton Terrace,Blur Italia Deluxe,118,Falta Pagar
202260,18/04/2023,5/05/2023,Gavin Belderfield Pietranek,922775503,3622 Crescent Oaks Terrace,Releaf Primer,101.5,Pagado
202237,27/08/2023,5/09/2023,Bronnie Jasiak Waber,927003451,66511 Hudson Crossing,Tease Me,116,Pagado
202285,6/04/2023,24/04/2023,Thebault Craythorne Vakhrushin,907355039,393 Thompson Street,Releaf Primer,123,Falta Pagar
202211,11/03/2024,8/04/2024,Tymothy Kenner Lowen,902785582,742 Homewood Crossing,Pink Cloud Bye Filter,170,No pagado
202211,3/04/2023,25/04/2023,Veronica Dungey Spottiswoode,988160541,5917 Gina Terrace,Tease Me,85.5,No pagado
202219,23/05/2023,10/06/2023,Malchy Forseith Allanson,972877599,6 Talisman Lane,Corrector HD Pro,108.4,Falta Pagar
202286,26/10/2023,15/11/2023,Sophie Kolakowski McCaughey,928573224,00 Gateway Plaza,Blur Italia Deluxe,66,No pagado
202205,24/12/2023,31/12/2023,Jarrad Behnecken Scotney,958400506,26 Kings Center,Blur Italia Deluxe,42,Falta Pagar
202288,22/02/2024,6/03/2024,Marleah MacRorie Ferrao,927321060,9166 Ronald Regan Court,Cheeky Baby Líquido,50,Pagado
202235,21/05/2023,16/06/2023,Garnette Rewbottom Derry,951864436,05 South Hill,Pink Cloud Bye Filter,109.5,Pagado
202201,30/03/2023,29/04/2023,Dorian Forrester Jan,916825886,3 Sundown Alley,Bye Filter,134,No pagado
202204,17/04/2024,25/04/2024,Babb Ajam Alves,976985402,00 Morning Junction,Pink Cloud Bye Filter,65,Pagado
202299,29/10/2023,26/11/2023,Nichol Bennough Piggins,913642600,99204 Ridgeview Way,Jasmine,145,Pagado
202263,7/03/2023,28/03/2023,Erl Allingham Eglese,944470269,3 Kedzie Park,Tease Me,25,Falta Pagar
202218,29/05/2024,25/06/2024,Lindsay Yashunin Hynd,958828358,16 Karstens Trail,Cheeky Baby Líquido,111,Falta Pagar
202278,15/02/2024,10/03/2024,Cesare Winnett Stillman,942414917,349 Westridge Point,Cheeky Baby Líquido,122,Pagado
202263,17/02/2023,17/03/2023,Laney Coning Le Blanc,935981646,87 Corben Pass,Nude X,324.75,Pagado
202268,1/05/2024,24/05/2024,Marleah Simond Pippard,998962707,8 Mallard Park,Blur Italia Deluxe,50.5,No pagado
202258,9/06/2023,23/06/2023,Cody Hartop Roadknight,946638499,775 Lake View Way,Corrector HD Pro,106,Falta Pagar
202278,22/12/2023,8/01/2024,Shirley Coldridge Haquin,957242958,2 Rowland Drive,Corrector HD Pro,101,Falta Pagar
202284,7/01/2023,22/01/2023,Brittney Leyland Filipic,976395162,14544 Troy Park,Blur Italia Deluxe,70,Falta Pagar
202298,16/04/2024,12/05/2024,Erasmus Walkingshaw Vennart,945992616,90 Arapahoe Plaza,Releaf Primer,170,Falta Pagar
202279,19/07/2023,16/08/2023,Nicolina Espley Hylton,946954270,52 Grim Junction,Cheeky Baby Líquido,74,Pagado
202216,16/02/2024,27/02/2024,Betteanne Forman Barthram,941492474,633 Summerview Place,Tease Me,42,No pagado
202264,3/11/2023,16/11/2023,Valentino Leavens Jerosch,911181184,86 Mandrake Plaza,Releaf Primer,138,No pagado
202245,21/12/2023,9/01/2024,Welbie Lulham Stowe,973149421,1288 Merrick Place,Corrector HD Pro,201,Falta Pagar
202205,16/08/2023,9/09/2023,Maribel Ranscombe Petigrew,936825696,7640 Algoma Lane,Cheeky Baby Líquido,132,No pagado
202251,13/04/2024,27/04/2024,Zorine Gillingham Laverty,965971362,143 Starling Junction,Tease Me,35,Pagado
202247,27/06/2023,11/07/2023,Dannie Bray Confait,959312589,70 Warbler Hill,Corrector HD Pro,72,Falta Pagar
202274,28/06/2023,25/07/2023,Gael Kupis Malby,928234654,96137 Mifflin Road,Cheeky Baby Líquido,50,Falta Pagar
202291,28/09/2023,19/10/2023,Jourdain Gosneye Akroyd,906027366,49573 Florence Park,Jasmine,136,Falta Pagar
202215,16/01/2023,2/02/2023,Levey Bernard Ditchburn,960635993,30205 Maple Wood Plaza,Jasmine,69.5,No pagado
202287,29/08/2023,9/09/2023,Ario Sebring Dunks,950565029,56 Maywood Place,Nude X,77,No pagado
202262,26/03/2024,7/04/2024,Elfie Gilford McGannon,932170987,62722 Monica Court,Releaf Primer,54,No pagado
202283,15/09/2023,3/10/2023,Rudd Beckingham Eisikovitsh,953166105,0689 American Crossing,Jasmine,144.5,Pagado
202270,3/08/2023,27/08/2023,Renault Tremouille Otter,980039726,2 Farwell Trail,Bye Filter,207,No pagado
202216,14/06/2023,24/06/2023,Grannie Whitney Kinnin,997122321,62901 Burrows Road,Jasmine,144.5,No pagado
202287,25/03/2024,22/04/2024,Melli Pritchett Karolowski,984774876,595 Roth Park,Tease Me,76,Falta Pagar
202219,25/05/2023,14/06/2023,Brit Pendered Morde,911856386,467 Londonderry Point,Cheeky Baby Líquido,68,Falta Pagar
202234,12/01/2024,10/02/2024,Ashly Scotchforth Bury,996680461,84899 Heath Park,Jasmine,69.5,Falta Pagar
202220,25/11/2023,20/12/2023,Kendell Battram Rival,950780425,78266 Briar Crest Center,Jasmine,25,No pagado
202272,16/09/2023,12/10/2023,Blondie Lantiffe Helliker,910841982,8457 Basil Street,Nude X,85.5,Falta Pagar
202272,14/01/2024,4/02/2024,Roanne Tefft Rotte,972903131,7 Grim Parkway,Bye Filter,30,Pagado
202244,28/01/2024,14/02/2024,Anderea Charville Djorvic,930896592,984 Walton Trail,Pink Cloud Bye Filter,225,Pagado
202289,18/03/2023,17/04/2023,Grantham Stelfox Bahia,969792531,3 Magdeline Point,Releaf Primer,16,No pagado
202269,25/01/2024,17/02/2024,Mohandas Giroldi Salvadori,925406568,87282 Stephen Court,Blur Italia Deluxe,12,Falta Pagar
202293,11/11/2023,28/11/2023,Alexi Van de Vlies Hewell,949167468,868 Grover Lane,Pink Cloud Bye Filter,135,Pagado
202262,24/04/2024,4/05/2024,Drusilla Anning Belfield,901160864,80 Esker Park,Cheeky Baby Líquido,54,No pagado
202285,5/05/2024,19/05/2024,Milo McCaig Grievson,913641463,80505 Meadow Ridge Parkway,Nude X,142.5,Falta Pagar
202277,14/08/2023,12/09/2023,Sylvester O'Dreain Ciciari,932057979,45257 Fulton Terrace,Pink Cloud Bye Filter,45,Pagado
202243,2/10/2023,26/10/2023,Gavin Belderfield Pietranek,922775503,3622 Crescent Oaks Terrace,Island Girl,20,Pagado
202235,17/08/2023,31/08/2023,Bronnie Jasiak Waber,927003451,66511 Hudson Crossing,Jasmine,75,No pagado
202207,17/04/2024,25/04/2024,Thebault Craythorne Vakhrushin,907355039,393 Thompson Street,Jasmine,125,Falta Pagar
202221,8/05/2024,31/05/2024,Tymothy Kenner Lowen,902785582,742 Homewood Crossing,Nude X,142.5,Falta Pagar
202243,5/05/2024,30/05/2024,Veronica Dungey Spottiswoode,988160541,5917 Gina Terrace,Island Girl,100,No pagado
202250,16/02/2024,23/02/2024,Malchy Forseith Allanson,972877599,6 Talisman Lane,Bye Filter,90,No pagado
202239,27/02/2023,16/03/2023,Sophie Kolakowski McCaughey,928573224,00 Gateway Plaza,Jasmine,25,Falta Pagar
202233,5/01/2023,24/01/2023,Jarrad Behnecken Scotney,958400506,26 Kings Center,Cheeky Baby Líquido,54,Pagado
202214,13/04/2023,20/04/2023,Marleah MacRorie Ferrao,927321060,9166 Ronald Regan Court,Cheeky Baby Líquido,36,Falta Pagar
202287,20/04/2023,3/05/2023,Garnette Rewbottom Derry,951864436,05 South Hill,Pink Cloud Bye Filter,45,No pagado
202243,2/04/2023,17/04/2023,Dorian Forrester Jan,916825886,3 Sundown Alley,Releaf Primer,80,Falta Pagar
202279,17/03/2024,9/04/2024,Babb Ajam Alves,976985402,00 Morning Junction,Pink Cloud Bye Filter,90,Pagado
202284,2/09/2023,12/09/2023,Nichol Bennough Piggins,913642600,99204 Ridgeview Way,Island Girl,80,Falta Pagar
202243,14/04/2024,5/05/2024,Erl Allingham Eglese,944470269,3 Kedzie Park,Tease Me,13,No pagado
202206,22/09/2023,4/10/2023,Lindsay Yashunin Hynd,958828358,16 Karstens Trail,Releaf Primer,32,Pagado
202233,10/11/2023,26/11/2023,Cesare Winnett Stillman,942414917,349 Westridge Point,Corrector HD Pro,88,Falta Pagar
202269,6/02/2023,1/03/2023,Laney Coning Le Blanc,935981646,87 Corben Pass,Cheeky Baby Líquido,36,No pagado
202296,29/09/2023,28/10/2023,Marleah Simond Pippard,998962707,8 Mallard Park,Releaf Primer,64,Pagado
202261,7/12/2023,31/12/2023,Cody Hartop Roadknight,946638499,775 Lake View Way,Island Girl,60,No pagado
202290,15/01/2023,1/02/2023,Shirley Coldridge Haquin,957242958,2 Rowland Drive,Corrector HD Pro,110,No pagado
